Pays,Serie,Valeurs 2017
Azerbaïdjan,"PIB par habitant, ($ PPA internationaux constants de 2011)",14121.40694
Azerbaïdjan,"PIB par habitant, ($ PPA internationaux courants)",14121.40694
Bahamas,"Dette du gouvernement central, total (% du PIB)",
Bahamas,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",
Bahamas,Total de dette extérieure (% du RNB),
Bahamas,Valeur actuelle de la dette extérieure ($ US courants),
Bahamas,"Compte de capitaux nets (BDP, $ US courants)",0
Bahamas,Taux d’intérêt des dépôts (%),0.994166667
Bahamas,Taux d’intérêt des prêts (%),4.25
Bahamas,Taux d’intérêt réel (%),2.79739101
Bahamas,Croissance du PIB (% annuel),1.625011976
Bahamas,Croissance du PIB par habitant (% annuel),0.606496418
Bahamas,PIB ($ US courants),12359700000
Bahamas,PIB par habitant ($ US courants),32376.50917
Bahamas,PIB par habitant ($ US constants de 2010),32089.25302
Bahamas,PIB ($ US constants de 2010),12094837708
Bahamas,RNB ($ US courants),11814220000
Bahamas,RNB (dollars US constants 2010),11550973954
Bahamas,Croissance du RNB (% annuel),1.834052414
Bahamas,Croissance du RNB par habitant (% annuel),0.813441791
Bahamas,RNB par habitant en PPA (dollars internationaux constants de 2011),34332.57146
Bahamas,"RNB par habitant, ($ PPA internationaux courants)",34330
Bahamas,"PIB par habitant, ($ PPA internationaux constants de 2011)",35917.75703
Bahamas,"PIB par habitant, ($ PPA internationaux courants)",35917.75703
Bahreïn,"Dette du gouvernement central, total (% du PIB)",
Bahreïn,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",
Bahreïn,Total de dette extérieure (% du RNB),
Bahreïn,Valeur actuelle de la dette extérieure ($ US courants),
Bahreïn,"Compte de capitaux nets (BDP, $ US courants)",603723404.3
Bahreïn,Taux d’intérêt des dépôts (%),
Bahreïn,Taux d’intérêt des prêts (%),
Bahreïn,Taux d’intérêt réel (%),
Bahreïn,Croissance du PIB (% annuel),4.290949778
Bahreïn,Croissance du PIB par habitant (% annuel),-0.475473382
Bahreïn,PIB ($ US courants),35473776596
Bahreïn,PIB par habitant ($ US courants),23742.93734
Bahreïn,PIB par habitant ($ US constants de 2010),22445.45256
Bahreïn,PIB ($ US constants de 2010),33535234421
Bahreïn,RNB ($ US courants),33484122340
Bahreïn,RNB (dollars US constants 2010),31640331330
Bahreïn,Croissance du RNB (% annuel),4.100428298
Bahreïn,Croissance du RNB par habitant (% annuel),-0.657287432
Bahreïn,RNB par habitant en PPA (dollars internationaux constants de 2011),45033.83054
Bahreïn,"RNB par habitant, ($ PPA internationaux courants)",45030
Bahreïn,"PIB par habitant, ($ PPA internationaux constants de 2011)",47709.77802
Bahreïn,"PIB par habitant, ($ PPA internationaux courants)",47709.77802
Bangladesh,"Dette du gouvernement central, total (% du PIB)",
Bangladesh,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",13056142.6
Bangladesh,Total de dette extérieure (% du RNB),0.82269691
Bangladesh,Valeur actuelle de la dette extérieure ($ US courants),
Bangladesh,"Compte de capitaux nets (BDP, $ US courants)",292955563.8
Bangladesh,Taux d’intérêt des dépôts (%),5.605833333
Bangladesh,Taux d’intérêt des prêts (%),9.54
Bangladesh,Taux d’intérêt réel (%),3.068636871
Bangladesh,Croissance du PIB (% annuel),7.284174423
Bangladesh,Croissance du PIB par habitant (% annuel),6.136478312
Bangladesh,PIB ($ US courants),2.50E+11
Bangladesh,PIB par habitant ($ US courants),1563.767819
Bangladesh,PIB par habitant ($ US constants de 2010),1403.861692
Bangladesh,PIB ($ US constants de 2010),2.24E+11
Bangladesh,RNB ($ US courants),2.60E+11
Bangladesh,RNB (dollars US constants 2010),2.34E+11
Bangladesh,Croissance du RNB (% annuel),5.8778005
Bangladesh,Croissance du RNB par habitant (% annuel),4.745149384
Bangladesh,RNB par habitant en PPA (dollars internationaux constants de 2011),4339.489843
Bangladesh,"RNB par habitant, ($ PPA internationaux courants)",4340
Bangladesh,"PIB par habitant, ($ PPA internationaux constants de 2011)",4160.703325
Bangladesh,"PIB par habitant, ($ PPA internationaux courants)",4160.703325
Barbade,"Dette du gouvernement central, total (% du PIB)",
Barbade,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",
Barbade,Total de dette extérieure (% du RNB),
Barbade,Valeur actuelle de la dette extérieure ($ US courants),
Barbade,"Compte de capitaux nets (BDP, $ US courants)",
Barbade,Taux d’intérêt des dépôts (%),0.1948892
Barbade,Taux d’intérêt des prêts (%),8.05
Barbade,Taux d’intérêt réel (%),5.33567994
Barbade,Croissance du PIB (% annuel),0.475110679
Barbade,Croissance du PIB par habitant (% annuel),0.323816531
Barbade,PIB ($ US courants),4978000000
Barbade,PIB par habitant ($ US courants),17391.66891
Barbade,PIB par habitant ($ US constants de 2010),16961.33996
Barbade,PIB ($ US constants de 2010),4854827376
Barbade,RNB ($ US courants),4754253200
Barbade,RNB (dollars US constants 2010),
Barbade,Croissance du RNB (% annuel),
Barbade,Croissance du RNB par habitant (% annuel),
Barbade,RNB par habitant en PPA (dollars internationaux constants de 2011),15079.36912
Barbade,"RNB par habitant, ($ PPA internationaux courants)",15080
Barbade,"PIB par habitant, ($ PPA internationaux constants de 2011)",15789.04116
Barbade,"PIB par habitant, ($ PPA internationaux courants)",15789.04116
Bélarus,"Dette du gouvernement central, total (% du PIB)",
Bélarus,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",273187.5
Bélarus,Total de dette extérieure (% du RNB),8.3701781
Bélarus,Valeur actuelle de la dette extérieure ($ US courants),
Bélarus,"Compte de capitaux nets (BDP, $ US courants)",1500000
Bélarus,Taux d’intérêt des dépôts (%),6.999109131
Bélarus,Taux d’intérêt des prêts (%),9.658712416
Bélarus,Taux d’intérêt réel (%),0.953355741
Bélarus,Croissance du PIB (% annuel),2.5321835
Bélarus,Croissance du PIB par habitant (% annuel),2.644807522
Bélarus,PIB ($ US courants),54726595249
Bélarus,PIB par habitant ($ US courants),5785.670673
Bélarus,PIB par habitant ($ US constants de 2010),5940.228314
Bélarus,PIB ($ US constants de 2010),56421856743
Bélarus,RNB ($ US courants),52670933085
Bélarus,RNB (dollars US constants 2010),54427251093
Bélarus,Croissance du RNB (% annuel),3.3812706
Bélarus,Croissance du RNB par habitant (% annuel),3.494827281
Bélarus,RNB par habitant en PPA (dollars internationaux constants de 2011),17666.60161
Bélarus,"RNB par habitant, ($ PPA internationaux courants)",17670
Bélarus,"PIB par habitant, ($ PPA internationaux constants de 2011)",18356.10077
Bélarus,"PIB par habitant, ($ PPA internationaux courants)",18356.10077
Belgique,"Dette du gouvernement central, total (% du PIB)",
Belgique,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",
Belgique,Total de dette extérieure (% du RNB),
Belgique,Valeur actuelle de la dette extérieure ($ US courants),
Belgique,"Compte de capitaux nets (BDP, $ US courants)",754063384.9
Belgique,Taux d’intérêt des dépôts (%),
Belgique,Taux d’intérêt des prêts (%),
Belgique,Taux d’intérêt réel (%),
Belgique,Croissance du PIB (% annuel),1.619580278
Belgique,Croissance du PIB par habitant (% annuel),1.228866236
Belgique,PIB ($ US courants),5.02E+11
Belgique,PIB par habitant ($ US courants),44089.31009
Belgique,PIB par habitant ($ US constants de 2010),41809.75481
Belgique,PIB ($ US constants de 2010),4.76E+11
Belgique,RNB ($ US courants),5.06E+11
Belgique,RNB (dollars US constants 2010),4.80E+11
Belgique,Croissance du RNB (% annuel),1.572870143
Belgique,Croissance du RNB par habitant (% annuel),1.182335695
Belgique,RNB par habitant en PPA (dollars internationaux constants de 2011),50904.68909
Belgique,"RNB par habitant, ($ PPA internationaux courants)",50900
Belgique,"PIB par habitant, ($ PPA internationaux constants de 2011)",50442.27054
Belgique,"PIB par habitant, ($ PPA internationaux courants)",50442.27054
Belize,"Dette du gouvernement central, total (% du PIB)",
Belize,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",13867.4
Belize,Total de dette extérieure (% du RNB),6.025554111
Belize,Valeur actuelle de la dette extérieure ($ US courants),
Belize,"Compte de capitaux nets (BDP, $ US courants)",9167218.71
Belize,Taux d’intérêt des dépôts (%),2.119428902
Belize,Taux d’intérêt des prêts (%),9.4625
Belize,Taux d’intérêt réel (%),7.296649414
Belize,Croissance du PIB (% annuel),1.813682033
Belize,Croissance du PIB par habitant (% annuel),-0.184795031
Belize,PIB ($ US courants),1858529677
Belize,PIB par habitant ($ US courants),4945.857699
Belize,PIB par habitant ($ US constants de 2010),4663.304416
Belize,PIB ($ US constants de 2010),1752344612
Belize,RNB ($ US courants),1733329677
Belize,RNB (dollars US constants 2010),1632094146
