Pays,Serie,Valeurs 2017
Bhoutan,Indice du volume des exportations (2000=100),266.3585853
Bolivie,"Coût des procédures d’importation, formalités documentaires (USD)",30
Bolivie,"Coût des procédures d’importation, formalités douanières (USD)",315
Bolivie,Importations de biens et de services ($ US courants),11927938929
Bolivie,Importations de marchandises ($ US courants),9288000000
Bolivie,Importations de nourriture (% des marchandises importées),8.253865296
Bolivie,Indice de la valeur des importations (2000=100),507.6143281
Bolivie,Indice du volume des importations (2000=100),208.9927307
Bolivie,"Coût des procédures d’exportation, formalités documentaires (USD)",25
Bolivie,"Coût des procédures d’exportation, formalités douanières (USD)",65
Bolivie,Exportations de biens et de services ($ US courants),9341206368
Bolivie,Exportations de marchandises ($ US courants),7846000000
Bolivie,Exportations de nourriture (% des marchandises exportées),14.6471991
Bolivie,Indice de la valeur des exportations (2000=100),638.1507117
Bolivie,Indice du volume des exportations (2000=100),253.4667298
Bosnie-Herzégovine,"Coût des procédures d’importation, formalités documentaires (USD)",26.5
Bosnie-Herzégovine,"Coût des procédures d’importation, formalités douanières (USD)",108.5
Bosnie-Herzégovine,Importations de biens et de services ($ US courants),10320808221
Bosnie-Herzégovine,Importations de marchandises ($ US courants),10504000000
Bosnie-Herzégovine,Importations de nourriture (% des marchandises importées),16.99123309
Bosnie-Herzégovine,Indice de la valeur des importations (2000=100),330.2259688
Bosnie-Herzégovine,Indice du volume des importations (2000=100),211.2977916
Bosnie-Herzégovine,"Coût des procédures d’exportation, formalités documentaires (USD)",21.5
Bosnie-Herzégovine,"Coût des procédures d’exportation, formalités douanières (USD)",70
Bosnie-Herzégovine,Exportations de biens et de services ($ US courants),7389376199
Bosnie-Herzégovine,Exportations de marchandises ($ US courants),6402000000
Bosnie-Herzégovine,Exportations de nourriture (% des marchandises exportées),9.094014315
Bosnie-Herzégovine,Indice de la valeur des exportations (2000=100),598.8559534
Bosnie-Herzégovine,Indice du volume des exportations (2000=100),371.4923671
Botswana,"Coût des procédures d’importation, formalités documentaires (USD)",66.61538
Botswana,"Coût des procédures d’importation, formalités douanières (USD)",98.07692
Botswana,Importations de biens et de services ($ US courants),6281655295
Botswana,Importations de marchandises ($ US courants),5329000000
Botswana,Importations de nourriture (% des marchandises importées),12.5244663
Botswana,Indice de la valeur des importations (2000=100),256.0734701
Botswana,Indice du volume des importations (2000=100),170.9111596
